Öğrenci No;Cinsiyet;Doğum Yılı;Okul Türü;Sınıf Düzeyi;Baba Mesleği;Baba Eğitim Düzeyi;Anne Mesleği;Anne Eğitim Düzeyi;Kardeş Sayısı;Kitap Sayısı;Evde Bilgisayar;Evde İnternet;Evde Çalışma Odası;Sınıf 9 Notu;Sınıf 10 Notu;Sınıf 11 Notu;Not Ortalaması aps;Ders Dinleme Önemi;Ders Çalışma Önemi;Ödev Yapma Önemi;Okul Kursu Önemi;Özel Ders Sıklığı;Drsn Fizik Sıklığı;Drsn ÖSS Sıklığı;En sevilen konu;lsi11;lsi12;lsi13;lsi14;lsi21;lsi22;lsi23;lsi24;lsi31;lsi32;lsi33;lsi34;lsi41;lsi42;lsi43;lsi44;lsi51;lsi52;lsi53;lsi54;lsi61;lsi62;lsi63;lsi64;lsi71;lsi72;lsi73;lsi74;lsi81;lsi82;lsi83;lsi84;lsi91;lsi92;lsi93;lsi94;lsi101;lsi102;lsi103;lsi104;lsi111;lsi112;lsi113;lsi114;lsi121;lsi122;lsi123;lsi124;pas1;pas2;pas3;pas4;pas5;pas6;pas7;pas8;pas9;pas10;pas11;pas12;pas13;pas14;pas15;pas16;pas17;pas18;pas19;pas20;pas21;pas22;pas23;pas24;pas25;pas26;pas27;pas28;pas29;pas30;pas31;pas32;pas33;pas34;pas35;pas36;pas37;pas38;pas39;pas40;a1;a2;a3;a4;a5;a6;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;CE;RO;AC;AE;CE-AC;RO-AE;lst;pass
8-6198;1;92;3;9;12;4;14;2;2;4;1;1;1;3;;;3;1;2;2;3;1;1;1;7;1;4;2;3;1;3;2;4;2;1;4;3;1;3;2;4;3;2;1;4;1;3;2;4;1;3;2;4;3;1;2;4;1;3;2;4;4;1;2;3;2;3;1;4;2;3;1;4;2;4;4;2;5;3;2;4;5;2;1;4;1;4;3;4;4;4;5;2;3;4;4;3;4;4;4;3;2;2;4;3;3;2;4;4;3;2;4;3;2;1;4;2;2;1;1;1;4;4;2;4;4;1;4;3;4;3;4;4;3;2;2;2;4;1;4;4;3;3;4;4;4;3;3;4;2;3;3;4;4;22;30;23;45;-1;-15;3;28
8-6199;2;92;3;9;10;5;1;5;1;3;1;1;0;4;;;4;1;2;2;3;1;1;1;18;1;3;4;2;1;3;2;4;1;4;3;2;1;2;3;4;1;2;3;4;1;4;2;3;1;2;3;4;2;1;3;4;1;2;3;4;1;4;2;3;3;2;1;4;1;2;3;4;2;3;3;4;4;2;3;5;3;3;2;3;4;2;4;5;4;3;5;2;4;4;5;4;5;5;5;3;2;3;4;3;2;1;5;4;4;2;5;3;1;1;4;3;2;1;1;1;2;4;4;4;4;1;4;3;4;3;4;4;4;4;3;1;4;1;4;3;4;3;4;4;4;4;3;4;4;3;2;4;4;15;31;32;42;-17;-11;3;39
8-6200;1;92;3;9;12;4;14;2;1;2;1;1;1;1;;;1;1;1;1;3;1;1;1;7;1;2;4;3;1;2;4;3;2;1;4;3;1;2;4;3;4;3;2;1;1;2;4;3;1;2;4;3;2;1;4;3;1;3;4;2;3;1;4;2;2;1;4;3;4;2;3;1;2;1;1;4;5;2;1;4;4;2;2;3;4;2;2;3;5;5;5;1;4;4;5;4;5;5;5;2;1;1;4;4;2;1;4;3;2;1;4;3;1;1;4;1;3;1;1;1;4;3;3;4;4;1;4;3;4;2;4;3;3;4;2;1;4;1;4;4;3;2;2;4;4;2;1;4;1;1;1;4;1;23;22;45;30;-22;-8;3;56
8-6202;2;92;3;9;3;5;1;5;0;3;1;1;1;3;;;3;1;1;2;3;1;1;1;18;2;1;3;4;2;4;1;3;1;2;3;4;1;4;2;3;4;2;1;3;1;3;2;4;3;2;1;4;3;1;2;4;1;2;3;4;2;1;3;4;3;2;1;4;2;3;1;4;2;2;2;3;5;2;2;3;5;3;3;5;5;3;2;4;4;3;5;3;5;3;5;4;5;5;5;2;2;3;3;4;3;2;4;4;3;2;5;2;2;1;4;2;2;2;1;2;3;4;2;4;4;1;4;1;3;3;3;3;4;4;4;2;4;2;4;3;4;2;3;4;4;3;2;4;3;2;2;4;4;25;27;23;45;2;-18;2;45
8-6204;2;92;3;9;13;3;14;4;2;4;1;1;1;5;;;5;1;2;1;3;1;1;1;12;1;4;3;2;1;4;2;3;2;1;4;3;1;2;3;4;2;3;4;1;1;3;4;2;1;2;4;3;2;1;3;4;1;2;3;4;2;1;3;4;3;1;2;4;3;4;1;2;2;3;2;5;5;2;3;4;5;2;1;4;5;3;2;4;3;4;4;2;4;3;4;4;5;5;4;4;2;3;4;2;3;2;4;2;3;3;2;3;1;2;4;1;2;1;1;1;4;4;4;4;4;3;4;2;3;3;4;3;2;4;4;1;4;1;4;4;3;2;3;4;4;4;2;4;4;3;3;4;4;20;28;36;36;-16;-8;3;35
8-6205;2;92;3;9;4;4;16;5;1;4;1;1;1;1;;;1;1;2;1;3;1;3;3;12;2;4;3;1;1;4;3;2;1;2;4;3;1;4;3;2;2;4;3;1;1;4;3;2;1;3;2;4;1;3;4;2;1;3;4;2;1;2;4;3;1;3;4;2;1;4;3;2;2;4;3;4;4;3;2;4;4;2;2;4;4;3;3;4;4;3;4;3;5;5;4;4;5;4;5;2;2;3;3;2;4;2;4;4;3;3;3;2;2;2;4;1;2;4;2;1;3;4;4;4;4;2;4;3;4;3;4;4;4;4;4;1;4;1;4;3;4;1;3;2;4;4;1;4;4;4;1;4;4;14;40;40;26;-26;14;4;29
8-6206;1;91;3;9;11;5;14;2;2;4;1;0;1;3;;;3;1;2;2;3;1;1;1;6;2;4;3;4;4;4;3;3;2;4;4;1;2;4;3;4;2;3;2;3;2;1;3;1;3;3;2;4;1;2;2;4;1;2;3;4;3;4;3;1;2;4;2;1;2;4;4;3;2;3;3;4;5;1;1;5;5;2;2;4;5;2;1;2;2;5;5;2;4;3;5;5;5;5;5;3;2;2;5;3;3;2;4;4;3;2;4;1;1;2;4;2;1;1;1;1;4;2;2;4;4;2;4;2;3;2;4;3;1;4;1;1;4;1;4;4;1;2;4;4;4;4;2;4;3;2;2;4;4;26;39;34;33;-8;6;4;51
8-6207;1;92;3;9;8;5;14;4;1;4;1;1;1;3;;;3;1;2;2;3;2;1;1;6;1;4;3;2;1;4;3;2;3;1;4;2;1;4;3;2;1;4;2;3;3;4;2;1;1;3;2;4;4;1;2;3;1;3;2;4;4;1;3;2;4;2;1;3;3;4;2;1;3;4;2;1;3;2;3;4;2;4;4;3;2;3;4;3;4;4;4;2;3;4;4;2;3;3;4;2;2;2;4;2;3;3;2;2;4;3;3;3;1;1;4;3;3;1;1;1;4;4;3;4;4;2;4;3;4;3;4;4;4;4;3;2;4;1;4;4;3;3;3;4;4;2;4;4;4;2;1;4;4;27;35;29;29;-2;6;4;5
8-6208;2;92;3;9;16;5;14;4;1;3;1;1;0;2;;;2;2;2;1;2;1;3;2;8;3;4;2;1;1;4;2;3;;;;;1;4;3;2;;;;;1;4;3;2;1;3;4;2;1;2;4;3;1;4;3;2;4;2;1;3;2;4;3;1;3;4;2;1;5;4;3;2;4;4;2;3;5;4;4;1;2;3;4;3;2;1;5;3;2;5;2;3;3;4;4;1;3;3;3;1;4;4;5;2;5;3;4;4;1;1;4;2;1;2;1;1;4;4;4;4;4;1;4;3;3;4;3;4;4;4;2;2;4;1;4;4;4;1;3;4;4;4;2;4;3;4;1;4;4;18;35;27;20;-9;15;4;-7
8-6209;2;92;3;9;4;4;14;4;2;;1;1;1;3;;;3;1;2;2;3;1;1;1;8;2;4;3;1;3;4;2;1;1;4;3;2;1;4;3;2;2;4;3;1;1;4;3;2;1;4;2;3;1;3;2;4;1;4;3;2;1;4;2;3;2;4;3;1;1;4;3;2;2;3;3;2;4;2;2;4;5;3;3;2;4;1;3;4;2;5;5;2;4;4;4;4;4;4;5;2;1;2;5;3;3;2;4;4;3;2;3;3;1;2;4;2;1;1;1;1;3;4;4;4;4;2;4;3;4;1;4;1;2;4;4;1;4;1;4;4;2;1;4;4;4;1;4;4;3;2;1;4;1;17;47;32;24;-15;23;4;35
8-6210;2;92;3;9;11;5;14;5;1;4;1;0;1;4;;;4;1;;1;3;1;3;3;9;2;3;4;1;1;3;2;4;1;4;3;2;1;4;3;2;2;1;4;3;2;4;3;1;1;3;4;2;1;2;3;4;1;4;3;2;1;4;2;3;2;4;3;1;3;4;2;1;3;4;2;3;4;3;2;5;5;3;3;2;4;2;2;3;4;4;4;3;4;4;4;4;3;4;5;3;2;2;4;3;3;2;4;4;3;3;3;2;1;1;4;2;3;1;1;1;4;4;3;4;4;1;4;1;4;3;4;3;1;2;1;1;4;1;4;4;4;2;3;4;4;4;1;4;4;3;1;4;4;18;40;36;26;-18;14;4;29
8-6224;1;92;3;9;19;5;16;5;1;3;0;0;1;3;;;3;1;1;1;3;1;1;1;7;1;4;3;2;1;4;3;2;2;1;4;3;1;2;3;4;2;4;1;3;1;4;3;2;1;3;2;4;4;1;2;3;1;3;2;4;4;1;3;2;2;3;4;1;4;3;2;1;2;2;2;3;4;2;2;4;3;2;3;4;4;2;3;4;5;5;4;2;2;4;5;4;5;5;5;2;2;1;3;4;2;1;5;5;3;2;5;3;1;2;4;2;3;1;1;1;3;3;3;4;4;2;4;1;4;1;4;3;3;4;3;1;4;1;4;4;3;3;3;4;4;3;3;4;2;2;1;4;4;24;33;32;31;-8;2;4;46
8-6229;2;92;3;9;11;5;14;5;1;4;1;1;1;4;;;4;2;1;1;3;1;1;1;6;1;4;3;2;1;4;2;3;2;3;4;1;1;2;4;3;1;2;4;3;1;3;4;2;1;3;2;4;3;1;2;4;1;2;4;3;1;2;4;3;1;3;4;2;2;4;1;3;2;3;2;3;4;1;2;4;3;3;1;2;5;1;3;4;4;5;4;3;5;3;4;4;5;4;5;3;2;1;5;1;3;1;3;5;4;2;3;3;1;1;4;2;2;1;1;1;4;4;1;4;4;2;4;3;4;4;4;4;2;4;4;1;4;1;4;4;3;3;4;4;4;3;3;4;4;1;1;4;2;16;33;38;33;-22;0;4;39
8-6231;2;92;3;9;1;5;14;3;2;4;1;0;1;4;;;4;1;2;1;3;1;4;3;8;1;4;2;3;2;4;1;3;2;1;4;3;1;4;2;3;4;1;2;3;1;4;2;3;1;3;2;4;3;1;2;4;1;3;2;4;2;1;4;3;2;3;1;4;3;4;1;2;3;4;2;1;3;2;3;4;5;3;3;1;4;1;1;2;2;5;4;4;4;4;4;3;4;4;4;4;3;2;4;4;3;2;4;3;4;3;3;1;1;1;4;2;3;1;1;1;4;4;1;4;4;2;4;3;3;4;4;4;4;4;4;2;4;2;4;4;3;2;4;4;4;3;2;4;4;3;1;4;3;23;33;25;39;-2;-6;3;20
8-5062;1;91;3;10;12;2;14;2;0;3;1;1;1;4;3;;3,5;1;1;1;3;1;3;4;0;1;3;2;4;1;2;3;4;3;1;4;2;1;2;3;4;2;1;4;3;3;1;4;2;1;2;3;4;2;1;4;3;1;2;3;4;3;1;4;2;4;2;1;3;1;3;2;4;2;4;3;5;5;2;2;5;5;2;3;5;5;2;1;5;4;5;5;1;2;3;5;4;5;5;5;3;1;2;5;3;3;2;4;4;2;1;5;1;1;1;4;2;2;1;1;3;4;4;2;4;4;2;3;3;4;3;4;3;4;4;4;1;4;1;4;3;4;4;3;3;4;3;1;3;4;1;1;4;4;23;21;37;39;-14;-18;3;56
8-5063;1;91;3;10;11;5;14;5;2;3;1;0;0;5;5;;5;1;2;2;3;1;4;3;2;2;4;3;1;1;4;2;3;3;1;4;2;1;4;3;2;1;4;3;2;1;2;4;3;1;2;4;3;1;3;4;2;1;2;4;3;3;1;4;2;4;2;3;1;1;4;3;2;2;4;3;5;4;1;1;4;4;3;3;4;5;2;2;4;3;4;5;1;4;3;4;4;5;4;4;1;2;3;3;4;2;1;3;4;1;2;5;1;2;3;4;1;3;1;2;2;4;4;3;4;4;3;4;3;3;3;4;4;4;4;4;1;4;1;4;3;4;3;3;3;4;3;2;4;4;3;1;3;4;20;33;41;26;-21;7;4;48
8-5064;1;91;3;10;13;3;14;4;1;4;1;1;1;4;4;;4;1;1;1;3;1;3;3;3;1;4;3;2;1;4;2;3;4;1;3;2;1;4;2;3;1;3;4;2;1;4;2;3;1;2;3;4;2;1;3;4;1;4;2;3;1;3;2;4;1;4;3;2;4;3;2;1;3;4;3;4;4;2;1;5;5;3;2;1;4;1;2;5;4;4;4;2;2;3;5;5;5;5;5;3;1;1;4;4;2;1;4;4;4;2;5;3;1;3;4;1;3;1;1;1;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;1;4;1;4;4;2;3;4;4;4;2;1;4;4;2;2;4;4;19;37;31;33;-12;4;4;45
8-5065;1;91;3;10;11;5;14;4;0;4;1;0;1;4;3;;3,5;1;2;2;3;2;2;3;7;1;4;2;3;1;4;2;3;4;1;2;3;1;4;2;3;4;2;1;3;1;4;2;3;1;4;2;3;4;3;2;1;1;4;2;3;4;2;3;1;3;4;1;2;2;4;1;3;3;4;2;3;4;3;2;3;4;3;3;2;3;1;2;4;3;4;3;2;4;4;4;3;4;4;4;3;3;1;5;2;3;3;3;4;3;2;4;2;1;1;3;2;2;1;1;1;4;3;3;4;4;2;3;3;3;3;4;3;4;4;4;1;4;1;4;3;3;3;3;4;4;2;3;4;3;3;2;4;3;27;40;22;31;5;9;1;25
8-5066;2;91;3;10;13;2;14;3;2;3;0;0;1;3;1;;2;1;2;1;3;1;1;1;3;2;3;1;4;1;3;2;4;1;3;2;4;1;3;2;4;3;2;1;4;1;4;2;3;1;4;2;3;3;2;1;4;1;3;2;4;1;2;3;4;2;4;1;3;4;2;1;3;4;5;3;1;3;4;4;4;1;4;3;1;3;3;5;2;5;1;3;4;4;5;1;2;2;2;4;2;3;2;4;1;3;4;2;3;5;3;3;5;1;1;4;3;1;1;1;1;4;4;4;4;4;1;4;3;4;4;4;4;4;4;4;1;4;1;4;3;4;1;3;4;4;3;1;4;4;3;2;3;4;21;35;20;44;1;-9;2;-19
8-5067;1;91;3;10;12;4;14;2;2;4;1;0;1;3;2;;2,5;1;1;2;3;3;1;1;3;1;4;3;2;1;3;2;4;2;1;4;3;1;3;2;4;1;2;4;3;1;4;3;3;1;2;3;4;1;2;3;4;1;2;3;4;2;1;3;4;2;3;1;4;3;4;2;1;2;3;3;4;4;2;2;3;4;3;1;4;5;2;3;4;3;3;5;2;5;3;4;5;5;5;4;2;2;3;4;4;2;2;4;4;2;2;4;2;1;1;3;2;4;2;1;2;4;4;3;4;4;1;3;3;4;3;4;3;3;4;3;2;4;1;4;3;3;3;4;3;4;3;2;4;3;2;2;4;3;17;31;33;40;-16;-9;3;44
8-5068;1;91;3;10;11;5;14;2;1;4;1;0;1;4;2;;3;2;2;2;3;2;2;4;3;1;3;2;4;1;3;4;2;2;1;4;3;1;3;2;4;3;2;1;4;1;2;4;3;1;2;3;4;4;3;2;1;1;2;3;4;3;1;4;2;2;1;3;4;3;2;1;4;2;3;2;3;4;3;2;4;3;3;3;3;4;2;2;4;4;4;4;3;2;4;4;4;4;4;3;3;3;2;3;3;4;2;4;4;4;3;4;2;1;3;3;2;3;1;1;1;3;4;4;4;4;3;3;3;4;3;2;3;4;4;4;2;4;2;4;3;4;3;4;3;4;3;3;4;4;3;3;4;3;23;25;33;39;-10;-14;3;24
8-5072;2;92;3;10;11;5;1;5;2;4;1;0;0;3;3;;3;1;1;1;3;1;3;4;3;1;4;3;2;1;4;2;3;1;2;3;4;1;4;2;3;3;1;2;4;1;4;2;3;1;4;2;3;1;2;3;4;1;4;2;3;4;1;2;3;1;4;3;2;1;4;3;2;2;2;2;4;5;3;2;5;3;2;3;4;4;1;3;4;4;3;5;2;5;3;5;4;5;5;5;2;2;1;5;4;2;1;5;5;3;2;5;3;1;1;4;3;2;1;1;1;4;4;3;4;4;3;4;3;4;3;4;2;3;4;4;1;4;1;4;3;3;2;4;2;4;3;2;4;4;2;2;4;4;17;38;29;36;-12;2;4;53
8-5073;2;91;3;10;4;2;14;2;1;3;1;1;1;3;1;;2;1;1;2;3;1;3;3;3;1;4;2;3;1;3;2;4;1;2;4;3;1;3;2;4;1;2;4;3;1;4;3;2;1;4;2;3;1;4;2;3;1;3;2;4;2;4;1;3;2;4;3;1;1;4;2;3;3;4;4;1;3;3;3;3;2;3;4;2;3;4;4;2;2;2;3;3;3;4;3;2;4;2;4;3;3;3;3;1;3;4;2;3;4;4;3;4;1;2;3;3;3;1;2;1;4;3;3;4;4;2;3;3;4;4;4;4;3;3;4;1;4;1;4;3;3;3;3;4;4;3;3;4;4;3;1;4;4;14;41;29;36;-15;5;4;-14
8-5074;2;91;3;10;18;5;11;4;1;4;0;0;1;3;4;;3,5;1;1;2;2;4;4;4;5;1;2;3;4;1;4;3;2;4;1;3;2;1;4;3;2;3;2;1;4;1;3;4;2;1;2;4;3;2;1;4;3;1;2;3;4;1;3;4;2;1;3;4;2;2;3;4;1;2;3;2;4;4;2;2;3;5;3;2;4;4;3;2;4;3;4;4;2;4;3;5;4;5;5;5;2;2;3;3;4;3;2;4;4;2;2;4;2;2;2;4;2;2;1;1;1;4;4;3;4;4;2;4;3;4;3;4;3;2;4;4;1;4;1;4;3;4;4;2;4;4;3;2;4;4;2;1;4;4;19;30;40;31;-21;-1;3;42
8-5075;2;91;3;10;11;4;14;2;2;4;1;1;1;5;4;;4,5;1;1;2;3;1;3;4;5;1;4;2;3;1;4;3;2;3;1;4;3;1;4;2;3;1;4;2;3;1;3;4;2;1;4;2;3;1;2;3;4;1;4;2;3;2;1;4;3;1;3;2;4;1;4;2;3;2;3;3;2;4;3;2;4;3;2;3;3;3;2;3;4;3;4;4;3;4;3;4;3;4;4;4;2;2;2;4;3;3;2;4;4;3;3;4;2;2;2;4;2;3;2;2;2;4;4;4;4;4;2;4;3;4;4;4;3;4;4;4;2;4;2;4;4;4;2;4;4;4;4;2;4;4;3;2;4;4;15;38;32;36;-17;2;4;28
8-5077;2;91;3;10;5;5;14;2;2;3;1;1;0;3;1;;2;1;1;2;3;1;1;1;7;1;3;2;4;2;4;1;3;1;2;4;3;1;3;2;4;3;2;1;4;1;4;3;2;1;4;2;3;3;1;2;4;1;3;2;4;2;1;4;3;2;4;3;1;4;2;3;1;3;2;2;2;1;4;3;4;3;4;3;2;3;2;3;2;3;3;4;2;4;4;3;2;3;2;4;1;2;2;4;3;3;2;2;3;4;3;2;4;1;2;4;3;4;1;1;1;2;4;4;4;4;2;4;4;4;4;4;4;4;4;4;2;4;2;4;3;3;4;4;4;4;2;3;4;3;1;1;4;2;22;33;29;36;-7;-3;3;6
8-5079;2;91;3;10;13;4;14;3;1;3;1;1;1;3;1;;2;1;1;1;2;1;1;1;3;1;4;2;3;1;4;2;3;1;2;3;4;1;3;2;4;1;4;3;2;1;4;3;2;1;3;2;4;3;1;2;4;1;3;2;4;2;3;1;4;2;3;1;4;2;4;3;1;4;3;2;3;3;2;3;5;3;4;4;2;2;2;3;4;3;5;4;2;4;4;2;2;4;3;4;3;2;2;4;2;2;3;3;3;4;2;3;3;2;2;3;2;2;1;1;1;4;2;3;4;3;2;3;3;3;3;4;3;3;3;3;2;3;1;3;3;2;3;3;3;3;3;2;3;3;3;1;4;3;17;38;26;39;-9;-1;3;14
8-5080;2;91;3;10;18;5;34;5;1;4;1;1;1;3;2;;2,5;1;2;2;3;1;4;5;14;1;4;2;3;1;4;2;3;1;2;4;3;1;4;2;3;1;2;3;4;1;4;2;3;1;3;2;4;1;2;3;4;1;2;3;4;2;1;4;3;1;2;3;4;1;4;2;3;3;2;4;4;2;3;4;5;3;3;3;3;3;5;2;3;2;3;5;3;5;4;4;3;4;4;5;1;2;2;5;2;3;3;3;4;3;2;3;4;1;2;3;1;2;1;1;1;4;4;2;4;4;3;3;3;3;2;4;3;4;4;3;1;4;1;4;3;4;3;3;3;4;2;1;4;4;1;1;4;4;13;34;32;41;-19;-7;3;19
8-5081;1;91;3;10;1;5;16;4;0;2;1;1;1;5;3;;4;1;1;1;2;1;3;3;3;1;4;3;2;2;4;3;1;3;1;4;2;1;4;3;2;2;4;3;1;1;3;4;2;1;4;3;2;3;1;2;4;1;4;3;2;3;1;4;2;4;2;1;3;4;3;2;1;3;4;3;4;4;3;2;4;4;3;2;3;4;2;2;4;3;4;4;2;5;3;5;4;5;4;4;1;2;2;4;5;3;2;4;4;3;3;4;2;2;2;4;2;3;1;1;1;2;3;3;4;4;2;4;3;4;3;4;2;4;4;4;2;4;1;4;3;3;3;3;4;4;3;2;4;4;3;1;4;3;26;35;35;24;-9;11;4;39
8-5082;2;91;3;10;12;5;14;2;2;2;1;0;1;5;4;;4,5;1;1;2;3;1;3;4;1;1;4;3;2;1;4;3;2;1;2;4;3;1;4;2;3;3;2;1;4;1;4;3;2;1;3;2;4;2;1;3;4;1;3;2;4;4;1;2;3;3;1;2;4;4;3;1;2;2;4;4;1;5;2;1;4;3;2;5;2;2;2;3;2;3;5;4;4;3;3;2;1;4;4;4;3;3;3;;3;2;;1;2;3;3;2;3;1;2;4;1;3;1;1;1;4;4;4;4;4;1;4;3;2;4;4;3;2;3;2;1;4;1;4;3;3;3;3;3;4;3;2;4;4;2;2;4;4;23;32;28;37;-5;-5;3;5
8-5083;2;90;3;10;16;3;14;2;2;4;1;1;1;3;1;;2;1;2;2;3;1;1;1;14;1;4;2;3;1;4;3;2;1;3;4;2;1;4;2;3;2;3;1;4;1;4;3;2;1;3;2;4;1;3;4;2;1;4;2;3;4;1;3;2;3;4;1;2;1;4;3;2;3;3;2;3;4;1;2;3;3;4;3;1;2;2;3;2;4;4;4;2;5;3;4;1;3;4;4;2;2;3;4;3;4;2;2;2;3;1;3;3;1;1;4;3;3;1;1;1;4;4;3;4;4;1;4;4;4;4;4;4;4;4;4;1;4;1;4;3;4;2;3;4;4;4;3;4;4;3;3;4;4;18;41;30;31;-12;10;4;17
8-5084;2;91;3;10;11;4;14;4;1;3;1;0;1;3;2;;2,5;1;2;2;3;1;3;3;3;1;4;2;3;1;3;2;4;2;1;4;3;1;4;3;2;2;3;4;1;1;3;4;2;1;2;4;3;2;1;3;4;1;3;2;4;4;2;3;1;2;3;4;1;4;3;2;1;3;4;2;2;3;3;2;4;1;3;3;2;2;1;4;2;4;3;3;2;5;5;2;1;3;4;5;1;2;1;3;2;3;3;2;4;4;2;3;4;1;1;4;3;2;1;1;1;4;4;4;4;4;2;4;3;4;1;4;3;4;4;4;1;4;1;4;3;4;1;3;3;4;4;1;4;4;2;1;4;4;22;32;37;29;-15;3;4;8
8-5085;1;91;3;10;13;2;14;2;2;2;0;0;1;2;1;;1,5;1;2;2;3;1;1;1;18;4;1;3;2;1;2;3;4;2;1;4;3;1;2;4;3;3;1;2;4;3;4;2;1;2;4;1;3;3;2;1;4;1;3;2;4;;;;;1;4;3;2;1;4;3;2;3;4;3;2;4;4;3;4;2;4;3;2;3;3;4;3;2;4;4;3;4;4;3;4;4;3;4;3;2;3;3;2;3;3;4;3;4;4;3;4;2;2;4;3;3;1;2;1;4;4;4;4;4;3;4;3;4;3;4;3;4;4;4;2;4;2;4;3;4;3;4;4;4;3;2;4;4;3;2;4;4;22;28;28;32;-6;-4;3;3
8-5086;1;91;3;10;3;5;14;4;1;2;0;0;0;3;3;;3;1;1;2;3;1;4;5;3;1;2;3;4;1;3;2;4;3;1;4;2;1;2;3;4;3;1;2;4;1;4;2;3;1;3;2;4;3;1;2;4;1;2;3;4;;;;;4;2;3;1;4;3;2;1;2;3;1;4;5;2;1;5;5;1;2;2;4;1;2;3;4;4;4;2;4;2;5;5;5;5;5;2;1;1;5;4;2;1;5;5;2;1;5;2;1;1;4;3;1;1;1;1;4;4;4;4;4;3;4;3;4;3;4;3;3;4;4;1;4;1;4;4;4;4;3;4;4;2;1;4;4;1;1;4;4;23;24;28;35;-5;-11;3;62
8-5087;2;91;3;10;10;4;5;5;1;4;1;1;1;3;3;;3;1;1;2;3;4;4;4;12;1;4;3;2;1;4;2;3;3;1;4;2;1;4;2;3;2;4;1;3;1;4;3;2;2;3;4;1;1;2;3;4;1;4;2;3;3;1;4;2;2;3;4;1;2;4;3;1;2;2;3;3;4;3;2;4;4;2;2;3;4;2;1;5;2;4;5;2;4;4;4;3;5;4;4;3;1;2;5;4;2;2;2;4;3;3;5;3;1;2;4;2;3;1;1;1;4;4;2;4;4;1;4;3;4;4;3;3;4;4;4;1;4;1;4;3;3;2;3;4;4;3;3;4;4;2;1;4;1;20;38;35;27;-15;11;4;38
8-5089;2;91;3;10;12;2;14;2;1;2;0;0;1;4;4;;4;1;1;1;3;1;3;3;5;1;4;3;2;1;4;3;2;3;1;4;2;1;4;3;2;2;3;4;1;1;3;4;2;1;2;4;3;1;2;4;3;1;3;2;4;1;2;4;3;1;2;3;4;4;2;3;1;2;3;2;3;4;2;2;4;4;2;4;5;3;2;2;4;4;4;4;2;3;3;4;3;4;4;4;3;4;2;4;4;3;4;4;2;2;2;4;3;2;2;4;2;3;1;1;1;4;4;4;4;4;3;4;3;4;3;4;3;1;4;3;1;4;1;4;3;3;2;3;3;4;4;2;4;4;2;2;3;4;18;32;41;29;-23;3;4;30
8-5255;1;91;3;10;17;4;14;4;3;4;1;0;1;2;1;;1,5;1;2;2;3;1;1;1;3;1;4;2;3;1;4;3;2;1;4;3;2;1;4;2;3;1;2;3;4;1;4;3;2;1;4;2;3;1;4;3;2;1;4;2;3;1;3;2;4;1;4;3;2;1;4;2;3;3;2;2;2;3;3;3;4;4;4;3;2;2;2;3;4;4;4;4;2;4;4;4;2;4;4;4;4;3;2;4;3;4;2;3;4;3;2;4;3;2;3;4;3;4;1;2;2;4;4;2;2;3;2;4;3;3;3;3;4;3;4;3;2;3;1;4;4;3;2;3;4;4;2;2;4;4;2;2;4;4;12;45;30;33;-18;12;4;19
8-5256;1;91;3;10;5;5;1;5;2;4;1;0;1;4;3;;3,5;2;1;2;3;3;2;4;4;1;4;3;2;2;3;1;4;2;1;3;4;1;2;4;3;1;3;4;2;1;3;4;2;1;3;2;4;4;2;1;3;1;2;4;3;3;1;4;2;1;2;4;3;1;3;4;2;2;1;2;3;4;3;2;5;3;3;3;4;5;4;4;4;2;3;4;3;2;4;4;2;4;4;4;4;1;2;;4;2;1;2;3;4;3;4;2;2;3;4;3;2;1;1;1;4;3;2;4;4;3;4;3;3;1;4;2;4;2;3;1;4;1;4;3;4;2;3;4;4;1;1;3;3;2;1;4;3;19;29;38;34;-19;-5;3;20
8-5258;1;90;3;10;20;2;14;2;1;4;1;1;1;3;1;;2;1;1;2;3;1;1;1;3;2;4;1;3;1;4;2;3;1;4;3;2;1;4;2;3;4;1;2;3;3;4;1;2;4;2;1;3;2;1;3;4;1;3;2;4;1;3;4;2;2;4;3;1;2;4;3;1;2;2;2;2;3;2;3;4;4;3;3;2;2;2;3;4;4;4;4;2;4;4;4;2;4;4;4;2;2;2;4;2;3;2;2;2;4;2;4;2;2;3;4;3;3;1;2;1;4;4;3;4;4;2;4;3;3;3;3;4;3;4;3;2;4;1;4;4;1;3;3;4;4;2;3;4;4;3;3;4;4;24;38;27;31;-3;7;4;22
